Video Problems|Title|Director|Studio|Country|Language|Subtitles|Year|Runtime|Timecode for Thumbnail|Filming Location|Setting City|Key Awards|Actors|Media received|Synopsis|Genre|Sub-Genre|Subject|Sub-Subject|Age 2-4|Age 5-6|Age 7-8|Age 9-12|Age 13-14|Age 14+|Issues Related to Selected Age Range|Value of the film despite Issues Related to Age Range|Profile Bucket|Mood|Homepage List|Tags Provided|Star Rating 
|Rojo Red|Juan Manuel Betancourt|Gatoencerrado Films|Colombia|Nonverbal ||2008|0:13:00|0:07:22|||Fantasporto Porto International Film Festival Best Short Film, Cartagena International Film Festival Best Short Film, New York Latino Film Festival Best Short Film, Los Angeles International Shorts Festival Best experimental shortfilm, Viart Festival Venezuela Best fiction shortfilm and Best editing, Festival Nueva Mirada Argentina Best shortfilm for children |Apsod Camargo, Valentina Umaña, Marisol Correa, Raul Gonzalez|RojoRed Facets.mov|Federico Guillermo, gets grounded for making a mess while playing in the living room and not wearing the orthopedic shoes he's been told. Federico refuses to wear them but he just can't take them off so he decides to run away from home. His sister is just able to yell at him: 'tie your laces or you will fall!!'. In the run Federico suddenly falls down and discovers that he fell because of a fabric hole on the pavement and not for the laces. He tries to set free his foot from the threads, realizing that every time he pulls a thread something is destroyed in the world. Federico starts looking for the string that will destroy his own shoes. An experimental film about imagination and the fabric of reality. |Fantastic Worlds, Animation |Magic and Magicians, Mixed Liveaction/ Animation |Identity, Child Protagonists |Being Yourself, Explorers ||x|x|x|x|x|||Excited, Think |Heighten My Senses, Space to Think |||4
|Rhyd-y-Car: Back to the Future |Gerald Conn|Cinetig Animation Studio|UK|Nonverbal ||2008|0:05:58|0:03:36|||||Rhyd y Car - Back to the Future.mov|This short takes a look at how one house changes through the passing of time. |Animation, Dramatic Arts |Mixed Materials, History on Screen |Different Perspectives |Age Gap |x|x|x|x|x|x|||Think, Excited |Learn Something New |||3
|She’s a Dog|Sue Corcoran|Von Piglet Productions|USA|English||2010|0:03:30|0:00:49||||Vincent Gates|She's_a_Dog_use this one.mov|Captain Vintastic sings to his dog. He wonders if she really is a person wearing a dog suit.|Comedy, Musicals |Funny Friends, Sing Alongs, Music Videos |Friendship, Animals, Music|Best Friends, Dogs, Cats and Mice, Popular Music|x|x|x|x|x|x|||Happy, Laugh |Just Relax, Laugh Out Loud |||3
|Small Beings Life|Igor Malomud|School-Studio "Shar"|Russia|Nonverbal |English |2008|0:06:31|0:00:56|||2010 UK Glimmer Hull International Short Film Festival, 2010 Chicago International Children's Film Festival||Small beings life.mp4|A story about the unique bond between a little girl and her new "pet." |Animation|Mixed Materials |Digital Issues, Friendship, Gaming |Computers and Gaming, New Friends, Video Games |subtitles|subtitles|x|x|x|x|||Excited, Care |Make New Friends |||3
|Toyland|Jochen Alexander Freydank|Mephisto Film|Germany|German|English|2008|0:14:03|0:10:03|||2009 USA Academy Awards Best Live Action Short Film Winner, 2008 Almería International Short Film Festival Audience Award and Best Short Film Award Winner, 2008 Palm Springs International ShortFest |Julia Jäger, Cedric Eich, Tamay Bulut Özvatan, Torsten Michaelis, Claudia Hübschmann, David C. Bunners|Spielzeugland_Toyland_Engl_UT.avi|In 1942 what happens when a German kid believes that his Jewish neighbors are going to Toyland? What ensuses is a dramatic story about lies and guilt. |Action and Adventure, Dramatic Arts, Foreign Language Film|Best Buds, History On Screen, German |Identity, Family Crisis, Friendship, Religion and Life, Different Perspectives |Herd Mentality, Running Away, Friends in Trouble, Judaism, Crosscultural |||||x||Mature Subjects|This film touches on the horrors of the Holocaust from the perspective of a little boy. Although the subject is disturbing, the film tells an important and touching story. |Care, Think |Change the World, Wear Me Out, Shed a Tear, Save Someone |||5
|Subway Score |Alexander Isert|Magnetfilm|Germany |Nonverbal ||2004|0:07:00|0:00:16|||2005 Berlinale Panorama, 2006 d'Amiens Festival International du Film, 2005 Munich Int. Filmschool Festival CILECT Award, 2005 Kiev Ukraine The XXXIVth Kyiv Int. Film Festival Molodist Jury Diplom||Subway_Score_ProRes_H264.mov|In a subway station, a dog is trying to play patience. But the peaceful atmosphere of the station is about to end…|Animation, Comedy |Hand-Drawn, Computer Generated, Dark Comedy, Modern Slapstick|Travel |Weird Places, Portals and Other Worlds||||||x|Excessive Violence |Comedic value |Excited, Scared |Get Goosebumps, Laugh Out Loud|||4
|Superhero Training Center – Cultural Awareness Day|Yun-Ling Lee|Entertainment Technology Center – Carnegie Mellon University|USA|English||2008|0:05:40|0:01:48|||2008 CICFF Best Animated Documentary, 2008-2009 NextFrame Animation Festival 1st Place||SuperheroTrainingCenter_CulturalAwarenessDay.mp4|Superhero Training Center: Cultural Awareness Day is an animated documentary which explores the mindsets of Asians and Americans in cross-cultural collaboration. In Fall 2007, we gathered interviews from 25 mostly Asian and American students. Interviewees came from various disciplines including art and engineering. Every interviewee had at least one semester of cross-cultural and cross-disciplinary team experience. Five of these interviews were carefully selected and cast as Western and Eastern Superheroes-in-training. The team believes that through a light-hearted animation, audiences would be more receptive to the voices of our interviewees in our exploration of a deeply sensitive topic. The animation was created as a fourteen week project in Spring 2008 by five students of the Entertainment Technology Center, Carnegie Mellon University.|Animation, Nonfiction |Computer-Generated, Modern Times |Identity, Different Perspectives |Cultural Identity, Crosscultural ||||x|x|x|||Excited, Think |Make New Friends, Space to Think |||3
|The Heart Sometimes Stops Beating |Maria Camargo||Brazil |Portuguese |English |2009|0:14:00|0:11:04||||Gabriel Sitchin, Julia Bernat, Pedro Rangel|The Heart Sometimes Stops Beating.mov|At 15, Rafael is just like every other teenager, until the skateboard he receives from his girlfriend brings an unexpected twist to his story.|Action and Adventure, Dramatic Arts, Foreign Language Film|Best Buds, Disaster Movies, Portuguese |Friendship, Getting Sick, Sports|New Friends, Dealing with Death, Skateboarding, Biking and Extreme Sports |||||x||||Care, Excited |On the Edge of my Seat, Space to Think|||4
|The House |David Buob|Magnetfilm|Germany|Nonverbal ||2011|0:06:33|0:03:07|||||THE_HOUSE_ProResHQ_H264.mov|The dream of the little girl is to care for her grandmother, but the aunt and the mother do not let her do so.|Animation |Mixed Materials |Animals, Travel, |Various, Weird Places, Portals and Other Worlds||||x|x|x|||Excited, Scared |Space to Think|||3
|Two Princesses|Maria Stepanova |School-Studio "Shar"|Russia|Russian |English |2009|0:08:52|0:07:32|||2010 Chicago International Children's Film Festival Children’s jury prize in Animated short section ||Two princesses_H264.mp4|This film is based on the English fairy tale, “Kat-Nutcracker”. It is a story about how courage and resourcefulness help people to get what they want in this life. Love wins over evil’s magic and helps to open real feelings.|Animation, Fantastic Worlds, Foreign Language Film|Mixed Materials, Fairy Tales |Getting Sick, Siblings|Getting Well, Sisters|subtitles|subtitles|x|x|x|x|||Excited |Fall in Love, Save Someone |||3
|Vanaja |Rajnesh Domalpalli |Varija Films|India, USA|Telugu|English |2006|1:51:00|1:44:37|||2007 Ale Kino! International Young Audience Film Festival Best Film Winner, 2007 Asian First Film Festival Best Female Actor Winner, 2007 Berlin International Film Festival Best Debut Film Winner, 2007 Chicago International Children's Film Festival Live-Action Feature Film Winner, 2006 New York Indo-American Arts Council Film Festival Best Narrative Film Winner, 2007 Rhode Island International Film Festival Best Cinematography Winner |Mamatha Bhukya, Urmila Dammannagari, Ramachandriah Marikanti, Krishnamma Gundimalla, Karan Singh, Bhavani Renukunta, Krishna Garlapati, Prabhu Garlapati, Ram Babu Tarra, Veeramma Sadula|Vanaja_H.264.mov|Vanaja, the 15 year old daughter of a financially troubled fisherman goes to work in the local landlady's house in hopes of learning Kuchipudi dance. She does well, but when the Landlady's son returns from the US, what begins as innocent sexual chemistry turns ugly, ending in a rape - a rape of a minor. Set in rural South India, a place where social barriers are built stronger than ancient fort walls, the film explores the chasm that divides classes as a young girl struggles to come of age.|Dramatic Arts, Foreign Language Film |Coming of Age, Other Asian |Family Crisis, Art and Dance, Different Perspectives |Not Enough Money, Parent in Trouble, Adoption, Formal Dance, Crosscultural, Class-based |||||x|x|Moderate Sexuality, Moderate Social Issues, Mild Violence, Mild Profanity |This film deals with a rape in rural south India and the realities of class-division. Although it deals with mature subject matter, it is not overly explicit and it tells an important and compelling story. |Think, Care, Excited |Change the World, Learn Something New, Tough Choices |||5
|Wednesday |Rob Sorrenti |Future Time Pictures Ltd. |UK|English ||2007|0:23:23|0:02:14|London, England |London, England |2007 Ft. Lauderdale International Film Festival Best Short Film, 2008 Garden State Film Festival Best International Short|Sinead Matthews, Tom McClane, Ann Emery|WEDNESDAY_SD WIDESCREEN_FACETT KIDS.mov|Sam, 24, is shy and introverted. The only woman in his life is his Nan. Until now. Lilya, 24, is Nan's nurse. She is kind and caring, and Nan would like to bring her and Sam together. But how? Nan soon discovers that playing Cupid is strictly for the angels. As if by chance, when Nan says her goodbye, Sam and Lilya say their hellos. But there is a sense of dejavu. Where and how could they have possibly met before? In fact their fi rst meeting took place 25 years before. On a Wednesday. What was always meant to be is now becoming. |Dramatic Arts, A Little Romance |Family Trouble, First Loves, Akward Exchanges |Getting Sick, Your Future, Your Family, Different Perspectives |Dealing With Death, Go Your Own Way, Grandparents, Age Gap|||||x|x|Mild Mature Subjects, Mild Profanity |The word 'bastard' is used. However, this is a touching film with an important message and heart warming ending. |Care, Think, Happy |Shed a Tear, Stand Up for Something, Be Better and Faster, Space to Think |||4
