Video Problems|Title|Director|Studio|Country|Language|Subtitles|Year|Runtime|Timecode for Thumbnail|Filming Location|Setting City|Key Awards|Actors|Media received|Synopsis|Genre|Sub-Genre|Subject|Sub-Subject|Age 2-4|Age 5-6|Age 7-8|Age 9-12|Age 13-14|Age 14+|Issues Related to Selected Age Range|Value of the film despite Issues Related to Age Range|Profile Bucket|Mood|Homepage List|Tags Provided
|Little Big Kid|Kathleen Jayme|University of British Columbia|Canada|English||2010|0:09:31|0:00:50|||2011 Vancouver Leo Awards Best Student Production Winner, 2010 Yorkton Film Festival Golden Sheaf Nominee, 2011 Los Angeles Young Artists Awards Best Performance in a Short Film, 2010 Vancouver Short Film Festival Best Actor, 2010 Philadelphia First Glance Film Festival Best Director Award Audience Choice Award, UBC’s POV Student Film Festival Best Film Best Director Best Sound Design Best Cinematography Audience Choice Award, 2010 Vancouver Women in Film Award|Dawson Dunbar, Thomas Orr-Loney|LITTLE BIG KID-QuickTime H.264.mov|Eighty-year-old Matthew Little experiences a brief, magical return to childhood when he meets another young boy, Johnny, at a lemonade stand.|Action & Adventure, Dramatic Arts|Best Buds|Friendship, Different Perspectives|Age Gap||||x|||||Happy|Make New Friends, Save Someone|Top Rated|
|Milk in the House|Kanako Sato|Animation Workshop|Japan|Japanese||2011|0:02:12|0:00:43|||||milk_in_the_house.mov|Milk, a rabbit, becomes smaller by a mysterious candy. This short film follows Milk's adventures around the house.|Animation, Fantastic Worlds|Stop-Motion Magic, Magic and Magicians|Animals|Various|x|x|||||||Excited|Just Relax|Brand New|
|Miramare|Michaela Muller|Academy of Fine Arts Zagreb, Michaela Mueller|Croatia, Switzerland|Nonverbal|English|2009|0:08:00|0:02:10|||2011 Swiss Film Prize Quartz Best Animation Winner, 2011 Vienna Tricky Women Film Festival Special Jury Award, 2011 Turkey International Izmir Animation Festival Jury Grand Prix, 2011 Luxembourg Unica Film Festival 2011 Bronze Medal, 2010 Holland Animation Festival Grand Prix European Student Film, 2010 Brooklyn International Film Festival Spirit Award for Animation||MIRAMARE_HD.mov|A look at life on the Mediterranean borders of Europe, where tourists try to relax while "illegal" immigrants struggle to get a chance for a better life.|Animation|Mixed Materials|Different Perspectives|Crosscultural||||x|x|x|||Excited|Learn Something New, Heighten My Senses|Top Rated|
|Moon Children (Die Kinder Im Mond)|Ursula Ulmi|Hochschule Luzern Design and Kunst Animation Dept.|Switzerland|Nonverbal||2008|0:04:37|0:02:25|||2009 Up-and Coming Film Festival Hannover International Young Film Makers Award Winner, 2009 La Bourboule Plein la Bobine Festival de Cinéma Jeunes Publics du Massif du Sancy Prix du Jury professionnel Winner, 2009 Lyon Festival International de films d'écoles Honorable Mention||2008_Moonchildren_Ulmi-Ursula_M_25F_720p_H264_169_20-XX-XX_TV.mov|A group of children sleep cozily inside the moon. One night they awake.|Animation|Hand-Drawn|Travel|Portals and Other Worlds|x|x|x|x|x|x|||Think, Happy|Learn Something New, Just Relax|Animation Antics|
|Mountain Animals Lunch with Brown Bear|Tomoko Oguchi|Tomoko Oguchi Animation|USA|Nonverbal|English|2012|0:03:54|0:03:44|||||MountainAnimalsLunchWithBrownBear.mov|Brown Bear learns to stay away from people food.|Animation|Mixed Materials|Your World, Animals|Bears|||x||||||Happy, Think|Just Relax|Animation Antics|
|New Digs|Martin Sen|Martin Sen|South Africa|English||2010|0:02:10|0:01:28|||2011 Savannah International Animation Festival Best Computer Animation Winner, 2011 Seattle International Film festival Special Jury Prize Winner|Samantha Cutler|NewDigs_h264_720p.mov|A little hamster, feeling neglected and unloved by his owner, decides to leave his rotten home in search for a better one.|Animation|Computer-Generated|Animals|Various||x|x|x|x|x|||Laugh|Laugh Out Loud|Picks for Me|
|Oblivion|Elizaveta Manokhins, Polina Manokhins|Elizaveta Manokhins, Polina Manokhins|Russia|Nonverbal||2010|0:06:00|0:01:19|||||Oblivion.m2p|A poor, young couple is desperate for money. The young man, a violinist, goes out into the cold night to play for some gold. Will things be the same when he finally returns to his wife with a pocket full of riches?|Animation|Mixed Materials|Family Crisis, Music|Not enough money, Folk and Street Musicians|||||x|x|Mild Mature Subjects|The film is a bit dark and scary.|Care, Scared|Shed a Tear, Space to Think|Brand New|
|OEL Chennai, India|Lakshman, Dhivya, Kavitha, Mary Amul, Manikandan|Mouth That Roars|UK|Tamil|English|2010|0:13:19|0:11:19|Chennai, India|Chennai, India|||Mouth That Roars - Oel Chennai, Nomadic Community 720p.mp4|Young people living in deprived areas of Chennai (Madras), India make a film that reveals their everyday lives. They allow us to look into their lives as they express their aspirations, dreams, and explain what is important to them.|Nonfiction Section|Lives of Others|Different Perspectives|Crosscultural||||x|x|x|||Think|Learn Something New|Picks for Me|
|Olympus Idol|Mary McKay|Uncommon Films Animation Workshop|USA|English||2008|0:04:45|0:01:14|||||Olympus Idol.mkv|A panel of Greek Gods, Apollo, Aphrodite and Hades, serve as judges for the mythological competition show Olympus Idol. The boisterous host Hermes introduces the judges to a set of three divine competitors who present the best of their inventions and ideas designed to benefit the future. Who will be named the next "Olympus Idol?" or should the decision be left to the fates?|Comedy|Parodies|Music, Religion and Life|Rockstars, Divas, Gods|||x|x|x||||Laugh|Laugh Out Loud|Brand New|
|Our Choice: Climate Change|Chia-Lin Tan|Sun Arts Production|Taiwan|Chinese|English|2012|0:24:09|0:00:09|||New York Festival Finalist Award Winner|Tsung-Tsung|Our Choice Climate Change HD.mp4|A short, informational film about climate change where we explore the science principles of climate and learn how it changes and affects our life.|Nonfiction Section|Environmental Awareness|Your World|Energy Conservation|||||x|x|||Think|Change the World|Picks for Me|
|Oversized|Myriam Elda Arsenault|Myriam Elda Arsenault|Canada|French|English|2010|0:03:35|0:01:37||||Josee Guerette|Oversized_MyriamArsenault.mp4|A little girl remembers being told when she was born that she would become as tall as her father, who is a giant. By showing her the world from up high, her father trains her to become a big girl. Much more than a simple size difference, the film tells the story of a father-daughter relationship that is out of the ordinary.|Animation|Hand-Drawn, Computer-Generated|Your family|Parents||x|x|x|x|x|||Happy|Feel Calm and Collected|Animation Antics|
|Papa's Tango|Michiel van Jaarsveld|IJswater Films|Netherlands|Dutch|English|2011|0:15:12|0:04:20|||2012 Buster International Children's Film Festival Best Short Film Winner, 2012 Germany Prix Jeunesse International Prix Jeunesse Award Nominee|Lucía Almeida-Carrion, Fidel Garcia Cortez, Ferdi Stofmeel, Saskia Temmink, Julie van Jaarsveld, Hylke van Sprundel|PAPAS TANGO HiRes (Engels ondertiteld).mov|Hannah misses her father after he leaves for Argentina. Although they're not together anymore, they will always share their love of tango.|Dramatic Arts, Foreign Language Film|Family Trouble, Immigrant Experiences, Other European|Identity, Parents, Different Perspectives|Cultural Identity, Crosscultural||||x|x|x|Mild Mature Subjects|It deals with realistic family issues, but has a happy ending to put things in perspective.|Care, Think|Just Relax|Picks for Me|
|Paper Tulips|Tricia Lee|A Film Monkey Production|Canada|English||2006|0:06:00|0:02:13|||Houston Worldfest Gold Remi Award Winner|Chantelle Flemming|paper tulips.mov|It’s not easy to find love when you’re different. But what if everyone were different in their own way? Just like in life, <i>Paper Tulips</i> has boys, girls, bullies, the bullied, crushes, diaries, secrets, popular kids, lonely kids, and so much more.|Dramatic Arts, A Little Romance|Social Problems, Crush on Him, Awkward Exchanges|Food and Fitness, Friendship, Bullies, Grades, Social Circles, Sports, Child Protagonists|Eating Right, Looking Right, Getting Fit, Cool to be Coed, New Friends, Cliques, Soccer, Brains to the Rescue||||x|x||||Happy|Make New Friends|Brand New|
|Pickles in a Pickle|Steffen Schaeffler|Ideal Standard Film, Liquid Image|Germany|English||2011|0:08:09|0:00:46||||Finn Stevenhagen, Emily Stevenhagen, Pier Maini, Eva Napleton|Pickles_HDTV_H.264_720p_3500KBitAAC.mov|The heat is on and everyone's looking forward to a dip in the pond, but the little pig, Pickels, might have gotten into a bit of a pickle by emptying the swimming hole...|Animation|Cutting Edge Animation|Animals|Barnyard Animals|x||||||||Laugh, Happy|Laugh Out Loud, Just Relax|Animation Antics|
|Plain and Simple|Merrin Marra, Jose Marra|Eye-Spy Productions|USA|English||2008|0:31:53|0:01:56|||2008 Bearfest Big Bear Lake International Film Festival Jury Award for Best Animated Film, 2008 Chicago International Children's Film Festival Children's Jury Award for Animated Short Film or Video, 2008 Temecula Valley International Film Festival Jury Award Best Short Film, 2008 Ft. Lauderdale International Film Festival 2nd place|Karyn Morris, Deborah Leydig, Elise Kauzlaric, Bryan McHenry, Jose Marra|Plain_and_Simple_MOVIE_720p.mp4|<i>Plain and Simple</i> is a "children's book come-to-life," combining a unique mixture of animated creatures, sets, and props with live actors. It's essentially a morality tale about the value of inner beauty and the struggle to belong. The story is centered on the plight of a plain little penguin named Pauly who is threatened with removal from a zoo run by greedy owners. The problem? Plain and simple Pauly does not generate enough interest to generate profits.|Animation, Dramatic Arts|Mixed Materials, Book Characters|Animals, Role Models|Various, Ugly Duckling||x|x|x|x|x|Mild Sexaulity|There is some mild innuendo that only older kids would understand. Despite this, the film has a happy ending and a positive message.|Happy|Laugh Out Loud, Learn Something New|Top Rated|
|Play Lunch|Cassandra Nguyen|Noodle Films|Australia|English|English|2011|0:09:51|0:02:15|||Chicago International Children’s Film Festival Children’s Jury Prize Live Action Short Winner, 2012 Australia Little Big Shots International Film Festival Best Live Action Short made by Adults Winner, 2012 New Jersy Kidz Filmz Festival International Middle School Student Short Award Winner,|Chantelle Wong, Dylan Tucker|Play Lunch.mp4|Shy, little Molly is determined to finish her big lunch before the siren sounds. While the other kids have already eaten and are off having fun, Molly watches on, still eating. During lunch, an encounter between Molly and a new friend brings the possibility of food, soccer, and friendship.|Action & Adventure|Best Buds|Friendship|New friends|||x|x|x||||Happy|Make New Friends, Just Relax|Top Rated|
|Prince Rat|Albert Radl|Radl Animation, TRIKK17 Animationsraum GmbH & Co K.G.|Germany|Nonverbal||2011|0:15:00|0:02:58|||2012 HAFF Holland Animation Film Festival MovieSquad HAFF Junior Award Winner, 19th International Animation Festival of Brazil ANIMA MUNDI ITINERANT AWARD Winner, 7th International Short Film Festival Venlo Best Animation Winner, 7th International Short Film Festival Venlo Best sfx Winner||Prinz_Ratte_HD_Q75_H264.mov|<i>Prinz Ratte</i> is a fairy tale with all the ingredients needed: A castle, a princess, a prince, a dragon, a secret admirer, and deep emotions. It also has an unexpected ending and an uncommon truth about little heroes and big desire.|Animation, Fantastic Worlds|Stop-motion, Knights and Damsels, Dragons|Travel|Portals and Other Worlds|||x|x|x||||Happy, Excited|Laugh Out Loud|Animation Antics|
|Roots and Wings|Angad Singh|One Light Films|USA|English||2009|0:30:13|0:02:01|||2009 Hollywood International Family Film Festival Best Educational Student Film Winner, 2009 Los Angeles Action/Cut Short Film Festival Best Documentary Most Promising Young Documentarian, 2009 Sikhnet Online Film Festival Best Youth Filmmaker Winner, 2009 Toronto Spinning Wheel Film Festival Opening Night Film, 2009 Moondance International Film Festival Best Short Film by Kids Semifinalist, Chicago International Children’s Film Festival Kid’s Flix Top Pix|Angad Singh|Roots and Wings.mp4|<i>Roots and Wings</i> is steadily becoming an educational tool in middle and high schools around the country. This film has created a dialogue around what it means to be an American in today’s multicultural society. It confronts the persistent bullying faced by students who dare to be different, or just to be themselves, and addresses diversity, hate crimes, minorities, immigrants, and stereotypes in a great melting pot.|Nonfiction Section, Dramatic Arts, Youth-Produced Movies|Lives of Others, Religious films|Identity, Bullies|Being Yourself, Cultural Identity||||x|x|x|||Happy, Think|Learn something New, Change the world|Top Rated|
|Sabeel|Khalid Al-Mahmood|Faradees Artistic Production|United Arab Emirates|Nonverbal||2010|0:20:00|0:01:44|||Dubai International Film Festival Muhr Emirati Award Winner, Locarno International Film Fetival Golden Pardino - Leopards of Tomorrow Winner|Hasan Al Marzouqi, Razeeka Al Tarish, Hussain Mahmood|Sabeel 1.5GB.mp4|A story of two young boys who are taking care of their sick grandmother. They spend their days growing and selling vegetables in order to buy medicine for her.|Dramatic Arts, Foreign Film|Family Trouble|Identity, Getting Sick|Cultural Identity, Dealing with Death|||||x|x|||Care, Happy|Learn Something New, Shed a tear|Picks for Me|
|Seasons of Love|Grettel Batoon|New York University Tisch School of the Arts|USA|English||2009|0:04:34|0:03:47|||2011 Wilmington NC Visions Film Festival and Conference Best Animated Film Winner, 2010 NYU Fusion Film Festival Best Film Winner, 2010 NYU Fusion Film Festival Best Undergraduate Director Winner, 2010 NYU First Run Film Festival Audience Choice, “Family Factor” Screening Winner||SeasonsOfLove_by_GrettelBatoon.mp4|After falling in love at the dawn of spring, two leaves must find a way to reunite after Mother Nature’s inevitable forces tear them apart. Budding love transforms their desolate surroundings into a vibrant field, but their time together is tragically short-lived. Following their journey through the seasons, this heart wrenching animated short reveals how true love can withstand time and distance.|Animation, A Little Romance|Hand-Drawn, First loves|Environment|Nature||x|x|x|x|x|||Happy|Fall in Love|Picks for Me|
|Second Hand|Isaac King|Ontario Arts Council|Canada|Nonverbal||2011|0:07:35|0:00:52|||France Annecy Animation Festival Audience Award Winner, Zagreb Animafest Best Children's Film Winner, CromaFest Mexico City Best Short Film Winner||SecondHand_Final_H.264_720.mov|The term "second hand" refers to the ticking hand on a clock. It also describes re-used items. Would you rather save time? Or save stuff? This film examines the imbalance and waste created by these modern obsessions.|Animation, Nonfiction Section, Dramatic Arts|Mixed Liveaction/Animation, Environmental Awareness|Friendship, Your World, Health|Energy Conservation|||x||||||Happy|Change the World, Make New Friends, Just Relax, Be the Bigger Person|Animation Antics|
|Shiny Alumina|Emily Williamson|Emily Williamson|Australia|English||2010|0:05:31|0:03:54|||Auburn International Film Festival Best childproduced film Winner|Darcie Mudd|Shiny Alumina_720.mp4|In <i>Shiny Alumina</i>, classmates, Luisa Randall and Darcie Mudd, tackle an issue close to their hearts and their home environment, that of the proposed mining of bauxite at Steve Irwin's Wildlife Reserve in Cape York.|Nonfiction Section, Youth-Produced Movies|Environmental Awareness|Friendship, Animals, Different Perspectives, Environment|Energy Conservation, Wildlife Protection|||x|x|||||Think, Happy|Change the World, Stand Up for Something|Picks for Me|
|Sidewalk Symphony|Jonathan Salemi|On the Fly Films|USA|Nonverbal||2010|0:05:23|0:03:27|||Boston International Film Festival Winner|Dylan Sylvester, Eliana Saenz, David Chandler, Lia Marie Johnson, Alexandra Ackerman|Final_Cut for Indie Flix-QuickTime H.264.mov|A young boy gets his iPod taken away and instead uses his imagination to make music with the environment around him.|Action & Adventure||Your World, Music|Folk and Street Musicians||x|x|x|x|x|||Happy|Heighten My Senses|Picks for Me|
|Skool Daze|Amy Morris|First light Movies, Winding Snake|Wales|English||2011|0:09:10|0:00:33|||||SchoolDaze_WindingSnake.mp4|This short tells the story of Ysgol Maestir, a Victorian School now located at the National History Museum in St. Fagans near Cardiff, Wales. It follows a little girl, who has a day dream about what the school used to be like.|Dramatic Arts, Foreign Film|History on Screen, Other European|Identity|Cultural Identity|||x|x|x||||Happy, Think|Learn Something New|Brand New|
|Smell My Feet|Magee Clegg|USC School of the Cinematic Arts|USA|English||2011|0:04:57|0:03:35||||Alexander Guder, David Schroeder, Kurt Quinn, Laura Harrison, Madison Wenn, Lori Desiderio|SmellMyFeetFINAL051111.mp4|A young boy finds inspiration from his grandfather's past to win over the girl of his dreams. It's an adorable coming of age film.|A Little Romance|First Loves|Role Models|Dudes who Care|||x|x|x||||Happy|Fall in Love|Picks for Me|
|Sores & Sirin|Katrin Gebbe|Hamburg Media School|Germany|German, Kurdish|English|2008|0:23:40|0:06:02|Hamburg, Germany|Hamburg, Germany|NYU Next Reel International Film Festival Filmmakers Choice Award Winner, 2009 Padua Euganea Film Festival Best International Short Movie Winner, The 26th Annual Chicago International Children’s Film Fest Winner|Aram Arami, Jasemin Soltau, Ulrike Folkerts, Brader Musiki|SORES & SIRIN_EUT_H264.mov|Kurdish siblings Sores and Sîrîn have lost their parents in the Iraq war. The orphans find a new home with a German foster mother. But when Sores calls his grandfather to take them back to Iraq, their lives are in danger of being broken apart once again.|Dramatic Arts|Coming of Age Stories, Immigrant Experiences|Different Perspectives|Crosscultural|||||x|x|||Happy, Care|Shed a Tear, Tough choices|Top Rated|
|The Driving Accident|Rio Fitch|Turtlescape Productions|Canada|English||2010|0:05:00|0:00:45|||Florida 15 Minutes of Fame Film Festival Best Family Film Winner, Seattle Children's Film Festival Seattle Children's Jury Northwest Prize, Asheville International Children's Film Festival Best Live Action Film|Skyler Fitch|The_Driving_Accident_Rio_Fitch.mov|During an afternoon of play, a young boy must use his wits and creativity to recover from a minor tragedy.|Comedy|Gross Out|Child Protagonists|Brains to the Rescue||x|x|x|x|x|||Laugh|Laugh Out Loud|Picks for Me|
|The Fairies Garden|Gabriela Martinez Garza|articula2, New Light|India|English||2008|0:06:20|0:04:07|Calcutta, India||||the_fairies_garden.mov|<i>The Fairies Garden</i> is an animated short that teaches us about our responsibility to protect nature from any harm.|Animation|Hand-Drawn, Mixed Materials, Stop-Motion Magic|Your World|Nature||x|x|x|x|x|||Happy|Learn Something New|Animation Antics|
|The Game Must Go On|Angeli Andrikopoulou, Argyris Tsepelikas|Anemon Productions|Greece|Greek|English|2010|1:21:00|1:01:03|||Greece Hellenic Film Academy Awards Best Documentary Winner,The LA Greek Film Festival Best Documentary Winner||ANEMON-GAME_ENG82-H264.mov|In an over populated Greek city, a group of children continually battle with the adults for the right to play in their own neighborhood. They decide to talk to the Mayor and convince him to build a play area for them in a local abandoned space.|Nonfiction Section, Foreign Language Film|Modern Times, Other European|Child Protagonist, Sports, Different perspectives|Unlikely Heroes, Soccer, Crosscultural||||x|x|x|||Happy|Stand Up for Something|Picks for Me|
|The Glue Blues|5th Grade Fugleflick Filmmakers|Dryden Elementary School Art Room|USA|English|English|2010|0:03:32|0:01:00|||2010 Washington DC Shortie Awards Nominee, 2010 Schaumburg Screen Test Film Fest Nominee||TheGlueBlues.mp4|Nothing makes you more blue than clogged up useless glue. Hear about how neglect makes the glue bottles feel.|Nonfiction Section, Animation|Crafts and Activities, Art Class, Mixed Materials|Your School|||x|x||||||Think|Stand Up for Something|Brand New|
|The Legend of Ol' Goldie|Matthew Snyman|Matthew Snyman Films|UK|Nonverbal||2008|0:07:20|0:06:36|||2009 Hollywood Kid's First! Film Festival Independent Animated Short Shorts Winner|David Godfrey, Tom Godfrey|The Legend of ol' Goldie.mov|When a lonely young boy catches a mysterious goldfish while fishing on the lake, no one is prepared for what lies within. The boy's troubled home life leads to an emotional bond with the goldfish. But when the goldfish starts doubling in size after every meal, the boy finds it increasingly difficult to keep his new friend a secret.|Action & Adventure|Best Buds|Friendship, Animals|Best Friends, Sea Creatures|||x||||||Happy|Make New Friends|Brand New|
|The Limitless Boxes|Yoon-Ah Jung|California Institute of the Arts|South Korea|English||2009|0:03:00|0:01:54|||||TheLimitlessBoxes_YoonahJung.mov|Based on a poem by Jeemin Kim, <i>The Limitless Boxes</i> transform into other dimensions and geometric shapes.|Animation|Hand-Drawn|Art and Dance|Poetry and Prose|||||x|x|||Think, Excited|Learn Something New, Wear Me Out|Animation Antics|
|The Little Blond Boy with a White Sheep|Eloi Henriod|Metronomic|France|French||2013|0:08:31|0:03:51|||2013 Film Festival in Clermont-Ferrand Best Featured Young Audience Winner||Little Blond Boy.mkv|This animated short tells the story of a lonely little boy with blond hair. During class, he daydreams about playing with his sheep.|Animation|Hand-Drawn, Mixed Materials|Your School, Identity|Being Yourself|||x|x|x||||Laugh|Just Relax, Laugh Out Loud|Animation Antics|
|The Little Crow With the Naked Bottom (De kleine Kraai met blote billen)|Raimke Groothuizen|Raimke|Netherlands|Dutch|English|2008|0:04:58|0:02:54|||2010 Rencontres Internationales du Cinema d’Animation de Wissembourg Special Distriction Young Audience's Jury Winner, 2009 Kinderfilmfest Kyoto Grand Prize (Short film) Winner, 2008 Amsterdam PUBLIEKSPRIJS NFTVM VERS Cinekid||thelittlecrowwiththenakedbottom_raimke.avi|No sooner does the little crow hatch from her egg, than feathers begin sprouting all over her body – except, that is, for her bottom which is quite bare. This worries her mother a great deal. Together the two birds set out to find a solution for the problem. They make inquiries of all kinds of feathered friends, but then, just when they manage to cover up the little one’s embarrassing nakedness, a new problem arises.|Animation|Mixed Materials|Animals|Birds|x|x|x|x|x|x|||Happy|Just Relax, Save Someone, Be the Bigger Person|Top Rated|
|The Lunchroom|Rayya Elias|Georgiepics, LuLo Productions|USA|English|English|2006|0:05:55|0:04:05||||Alex Beer, Maxwell Beer, Georgia Cohen|Lunchroom.mkv|Tya, a nine year old Syrian girl, has just moved to Warren Michigan. The fact that she is different and foreign is undeniable even as she tries to fit in by training herself to lose her accent. In <i>The Lunchroom</i>, she realizes that the things she loves within her culture may alienate her from the other kids.|Dramatic Arts|Immigrant Experiences, Social Problems|Identity|Cultural Identity||||x|x|x|||Care|Just be Alone|Picks for Me|
|The Magic Hat|Carlos Plummer|Super Image Ltd.|USA|English||2009|0:09:00|0:01:08|||San Luis Obispo International Film Festival Best Local Film Award Winner|Daniel Dominguez, Livi Dom|The Magic Hat 9-Minute Version.mp4|When a young boy finds a magical hat in a mysterious thrift shop, he realizes that it’s powers grant him any wish he wants. But when the hat starts to affect him negatively, he must choose between his friends and the hat.|Dramatic Arts, Fantastic Worlds, Youth-Produced Movies|Coming of Age Stories, Magic and Magicians|Friendship|Best Friends||x|x|x|x|x|||Happy|Tough Choices|Picks for Me|
|The MisInventions of Milo Weatherby|William Whirity|ArkFilms and Bingo Arms Productions|USA|English||2009|0:23:00|0:19:20|||Rhode Island International Film Festival Winner, 2010 New Port Kidseye Film Fest Jury award for Best TV Pilot Winner, 2011 Fort Collins TriMedia Film Festival Winner, 2010 Hollywood International Family Film Festival Best Comedy Winner|Charlie Bazzel, Matthew Levy, Bruce Jarchow, Monte LaMonte|The MisInventions of Milo Weatherby-H264.mp4|Milo Weatherby is the next Thomas Edison…or at least he’d like to think so. When Milo’s newest invention, the Reverse Microwave, actually turns out to be a time machine, he and his best friend Levi set out on an adventure through time.|Science Fiction|Time Travel|Travel|Portals and Other Worlds|||x|x|x||||Excited, Happy|Tough Choices|Top Rated|
|The Missing Sock|Austin Hillebrecht|Black Knight Studios|New Zealand, USA|English||2007|0:02:35|0:01:23|||2008 Hamburg Animation Awards The New Zealand Prize Winner||TheMissingSock_FacetsKids_SQ.mov|Daniel Whitaker is doing the laundry one day when he finds that one of his socks is missing. When he searches the dryer, he's thrown into a dark and spooky world full of old missing clothes. He finds his other sock, but not everyone there wants him to leave with it. It's is a whimsical student film with monsters to boot, or rather, sock.|Animation, Fantastic Worlds, Scary Movies, Science Fiction|Computer-Generated, Magic and Magicians, Ghosts and Haunted Houses, Unnatural Disasters|Travel, Child Protagonists|Portals and Other Worlds, Unlikely Heroes|||x|x|x||||Scared|Get Goosebumps|Animation Antics|
|The Old Man and the Old Woman|Basia Goszczynska|Basia Goszczynska|USA|Polish|English|2011|0:08:51|0:06:26|||2012 Poland Se-ma-for Animation Film Festival Official Selection, 2001 Calgary International Film Festival Official Selection, 2012 Boston Underground Film Fest Official Selection,  2012 Comic  Con International Film Festival Official Selection, 2012 Brooklyn Film Festival Official Selection, 2012 DC Shorts Film Festival Official Selection||The Old Man and the Old Woman by_Basia_Goszczynsk.mp4|Two soul mates fight their fears of death and loneliness in this short dark comedy based on the Polish fable by Józef Ignacy Kraszewski.|Animation|Stop-Motion Magic|Getting Sick|Dealing with Death|||x|x|x||||Scared, Care|Shed a Tear|Top Rated|
|The Prophecy of Asgard|Giu Jorge|Caraduá Produções|Brazil|Portuguese|English|2010|0:13:05|0:05:55||||Otto Jr., Renato Livera, Gilda Nomacce, Gabriel Figueiredo|Prophecy of Asgard.avi|One morning Mathew wakes up to find a prophecy written by the guardians of the magic lands of Asgard. The prophecy says he will turn into a grown warrior as soon as the next dawn begins. There isn´t much time and Mathew must learn the tricks of how to be a grown up in order to fulfill his destiny.|Action & Adventure|Superheroes|Role Models|Dads|||x|x|x||||Happy|Be Better and Faster|Brand New|
|The Red Balloon|Michael Olesen|Poor Chester, Chapman/Leonard Studio Equipment|USA|Nonverbal||2007|0:03:14|0:02:40|||2007 Danville Children's Festival Best Short Short Winner|Aidan Gould, Pedro Miguel Arce|The Red Balloon 422HQ.mov|A young boy enlists the help of a balloon seller to send birthday wishes to his Mom, in the only way he knows how, in this simple story of loss and longing.|Dramatic Arts|Family Trouble|Getting sick|Dealing with Death|||x|x|x||||Care|Shed a Tear|Picks for Me|
|The Scarf|Carla Veldman|Sheridan College|Canada|English||2010|0:03:19|0:00:27|||2010 Atlanta International Animated Film Association Best in Show Winner|Richard Reinders|TheScarf.mp4|A young boy’s life is forever changed when his aging grandmother comes to stay. It's a positive film that addresses Alzheimer’s disease, senility, and dementia.|Animation|Stop-Motion Magic|Your Family|Grandparents Moving In|||x|x|x||||Happy, Care|Shed a Tear|Animation Antics|
|The Stubborn Mule and the Remote Control|Helio Villela Nunes|Gato de Parque|Brazil|Nonverbal||2010|0:15:00|0:13:36|||Chicago International Children's Film Festival The Kenneth and Harle Montgomery Prize Best Film by an Emerging Director Winner, 2012 The 26th International Film Festival for Children and Young Adults in Isfahan The Golden Butterfly Best Short Film Award Winner, Brazil Brasilia Festival Best Actor and Critic Award Winner|Icaro Teixeira, Vinny Azar|STUBBORN_MULE.mp4|The story of a friendship and a silent duel.|Action & Adventure|Best Buds|Friendship|Best Friends|||x||||||Happy|Make New Friends|Top Rated|
|The Travelling Harpists|Gerald Conn|Gritty Realism Productions|UK|English||2009|0:10:00|0:01:10|||||Travelling Harpists.mov|<i>The Travelling Harpists</i> is an animated film made with young Irish Travellers from across Wales recapturing the stories and traditional customs of Gypsy culture, music, and language. A Heritage Lottery Funded film.|Animation|Hand-Drawn, Mixed Materials|Identity|Cultural Identity||x|x|x|x|x|||Think|Learn Something New|Brand New|
|The Wolf Turned Shepherd|Rebecca Akoun|Bezalel Academy of Art & Design Jerusalem|Israel|French|English|2010|0:08:00|0:02:17||||Jerome Quintard|WolfTurnedShepherdfacet.mp4|A wolf with human manners decides to go one step further and disguise himself as a shepherd. A film based on a fable by Jean de La Fontaine, with music by Gad Emile Zeitune.|Animation|Hand-Drawn, Mixed materials|Animals|Barnyard Animals||x|x|x|x|x|||Excited|Just Relax|Animation Antics|
|The World Fading From Darkness|Colin Conaty|Angelight Films|USA|English||2010|0:06:54|0:00:19||||Colin Conaty|World Fading From Darkness.mkv|In <i>The World Fading From Darkness</i> the king sets out on a journey to save his family and bring magic and color back to his kingdom.|Fantastic Worlds|Fairy Tales, Knights and Damsels|Child Protagonists|Crime Solvers|||x||||||Excited, Happy|Save Someone|Brand New|
|Those Who Can|Casey Kelly|Veva Productions|USA|English||2011|0:14:00|0:05:45|||Houston WorldFest Gold Award Winner|Chase Cargill, Margaret Kelly, David Maldonado, Sara Gaston, Pam Green|Those Who Can.mkv|It's prom night and two families struggle to create normalcy for their teenage children with special needs (autism). There are many unforeseen hardships. Still, when all goes wrong, the most surprising people come to the rescue.|Dramatic Arts|Family Trouble|Overcoming Mental Challenges, Bullies, Underdogs|Thinking Differently, Misunderstood Kids|||||x|x|||Happy|Make New Friends|Picks for Me|
|Tick Tock Time Emporium|Morgan Faust|BroSis, Faust Films|USA|English||2011|0:16:45|0:04:44|||2012 International Children's Film Festival Audience Award Best Short Film Winner, 2012 Sarasota Film Festival 2nd place Student Filmmaker Award Drama Winner|Rachel Resheff, Jeremy Lawrence, Jessica Green|TICK TOCK TIME EMPORIUM.mov|Max's mom never has enough time. In a strange pawn shop on the edge town, Max finds a man who buys and sells time of all varieties, but getting "enough time" will cost her more than she anticipated.|Dramatic Arts, Science Fiction|Coming of Age Stories|Grown Ups|Wise Old Friend|||x|x|x||||Happy|Space to Think|Picks for Me|
